Sn.No,Diary Phase,HH ID,Were you able to get in contact with the customer? ,3. What fuel was used?,3. What fuel was used?/Electricity,3. What fuel was used?/LPG,3. What fuel was used?/Kerosene,3. What fuel was used?/Charcoal,3. What fuel was used?/Firewood,3. What fuel was used?/Other,Please specify:,"4. What time did you start with any cooking activities? (lighting a fire, chopping vetables)",How much LPG was there before cooking (kg)?,How much kerosene was there before cooking (Litre)?,How much charcoal was there before cooking (kg)?,How much firewood was there before cooking (kg)?,How much other fuel was there before cooking (kg)?,How much LPG was there after cooking (kg)?,How much kerosene was there after cooking (Litre)?,How much charcoal was there after cooking (kg)?,How much firewood was there after cooking (kg)?,How much other fuel was there after cooking (kg)?,How long did it take to start the CHARCOAL fire? (mins),How long did it take to start the WOOD fire? (mins),Was any Charcoal saved for later?,Was any Firewood saved for later?,7. Gender of the cook:,8. Reason for cooking,8. Reason for cooking/Breakfast,8. Reason for cooking/Lunch,8. Reason for cooking/Supper,8. Reason for cooking/Snack,8. Reason for cooking/Food for baby,8. Reason for cooking/Water heating,8. Reason for cooking/Other,Please specify:,How many people were catered for?,9. Adults:,10. Children:,11. Did any food not require cooking?,Please specify:,12. How many dishes were cooked?,13. How many times was water heated?,1a) Which dish was prepared?,Please specify:,1b) What was used?,Please specify:,1c) What was used?,1c) What was used?/Sufuria big,1c) What was used?/Sufuria medium,1c) What was used?/Sufuria small,1c) What was used?/Frying pan,1c) What was used?/Kettle,1c) What was used?/Other,Please specify:,1e) Was a lid used?,1f) Fresh or reheated?,1g) Saving for later?,What time did you start cooking dish 1?,What was the meter reading before cooking?,What time did you finish cooking dish 1?,What was the meter reading after cooking?,2a) Which dish was prepared?,Please specify:,2b) What was used?,Please specify:,2c) What was used?,2c) What was used?/Sufuria big,2c) What was used?/Sufuria medium,2c) What was used?/Sufuria small,2c) What was used?/Frying pan,2c) What was used?/Kettle,2c) What was used?/Other,Please specify:,2e) Was a lid used?,2f) Fresh or reheated?,2g) Saving for later?,What time did you start cooking dish 2?,What was the meter reading before cooking?,What time did you finish cooking dish 2?,What was the meter reading after cooking?,3a) Which dish was prepared?,Please specify:,3b) What was used?,Please specify:,3c) What was used?,3c) What was used?/Sufuria big,3c) What was used?/Sufuria medium,3c) What was used?/Sufuria small,3c) What was used?/Frying pan,3c) What was used?/Kettle,3c) What was used?/Other,Please specify:,3e) Was a lid used?,3f) Fresh or reheated?,3g) Saving for later?,What time did you start cooking dish 3?,What was the meter reading before cooking?,What time did you finish cooking dish 3?,What was the meter reading after cooking?,4a) Which dish was prepared?,Please specify:,4b) What was used?,Please specify:,4c) What was used?,4c) What was used?/Sufuria big,4c) What was used?/Sufuria medium,4c) What was used?/Sufuria small,4c) What was used?/Frying pan,4c) What was used?/Kettle,4c) What was used?/Other,Please specify:,4e) Was a lid used?,4f) Fresh or reheated?,4g) Saving for later?,What time did you start cooking dish 4?,What was the meter reading before cooking?,What time did you finish cooking dish 4?,What was the meter reading after cooking?,5a) Which dish was prepared?,Please specify:,5b) What was used?,Please specify:,5c) What was used?,5c) What was used?/Sufuria big,5c) What was used?/Sufuria medium,5c) What was used?/Sufuria small,5c) What was used?/Frying pan,5c) What was used?/Kettle,5c) What was used?/Other,Please specify:,5e) Was a lid used?,5f) Fresh or reheated?,5g) Saving for later?,What time did you start cooking dish 5?,What was the meter reading before cooking?,What time did you finish cooking dish 5?,What was the meter reading after cooking?,6a) Why was the water heated?,Please specify:,6b) What was used?,Please specify:,6c) What was used?,6c) What was used?/Sufuria big,6c) What was used?/Sufuria medium,6c) What was used?/Sufuria small,6c) What was used?/Frying pan,6c) What was used?/Kettle,6c) What was used?/Other,Please specify:,6d) Was a lid used?,6e) How cold was the water/milk before heating?,6f) Saving for later (thermos)?,What time did you start heating the water 1?,What was the meter reading before cooking?,What time did you finish heating the water 1?,What was the meter reading after cooking?,7a) Why was the water heated?,Please specify:,7b) What was used?,Please specify:,7c) What was used?,7c) What was used?/Sufuria big,7c) What was used?/Sufuria medium,7c) What was used?/Sufuria small,7c) What was used?/Frying pan,7c) What was used?/Kettle,7c) What was used?/Other,Please specify:,7d) Was a lid used?,7e) How cold was the water/milk before heating?,7f) Saving for later (thermos)?,What time did you start heating the water 2?,What was the meter reading before cooking?,What time did you finish heating the water 2?,What was the meter reading after cooking?,What time did you finish all the cooking activities for the meal?,,,,,,,
187,Pre EPC,751589078,Yes ,Other,0,0,0,0,0,1,Zero,12:03:00.000+03:00,,,,,2,,,,,1,,,,,Male,Other,0,0,0,0,0,0,1,Zero,,1,0,No,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:04:00.000+03:00,,,,,,,
188,Pre EPC,751589078,Yes ,Charcoal,0,0,0,1,0,0,,10:00:00.000+03:00,,,2,,,,,0,,,6,,No,,Female,Breakfast Lunch Supper,1,1,1,0,0,0,0,,,2,3,No,,4,1,Rice,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,None,18:50:00.000+03:00,,19:45:00.000+03:00,,"Soup (goat, beef, fish)",,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Reheated,Preparing meal in advance,19:50:00.000+03:00,,20:05:00.000+03:00,,Matoke,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,Preparing meal in advance,11:00:00.000+03:00,,13:50:00.000+03:00,,"Soup (goat, beef, fish)",,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,Preparing meal in advance,12:30:00.000+03:00,,13:50:00.000+03:00,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,10:00:00.000+03:00,,11:00:00.000+03:00,,,,,,,,,,,,,,,,,,,,,20:05:00.000+03:00,,,,,,,
189,Pre EPC,751589078,Yes ,Charcoal,0,0,0,1,0,0,,10:15:00.000+03:00,,,3,,,,,1,,,5,,Yes,,Female,Breakfast Lunch Supper Water heating,1,1,1,0,0,1,0,,,2,3,No,,2,2,Other,Katogo ( cassava mixed with beans ),Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Reheated,Preparing meal in advance,19:30:00.000+03:00,,20:30:00.000+03:00,,Other,Katogo ( cassava mixed with beans ),Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,Preparing meal in advance,11:10:00.000+03:00,,14:00:00.000+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,18:30:00.000+03:00,,19:30:00.000+03:00,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,10:15:00.000+03:00,,11:10:00.000+03:00,,20:30:00.000+03:00,,,,,,,
190,Pre EPC,751589078,Yes ,LPG,0,1,0,0,0,0,,19:30:00.000+03:00,3,,,,,2,,,,,,,,,Female,Supper,0,0,1,0,0,0,0,,,2,0,No,,2,0,Rice,,Gas stove,,Sufuria small,0,0,1,0,0,0,,Sometimes,Fresh,None,19:35:00.000+03:00,,20:30:00.000+03:00,,"Soup (goat, beef, fish)",,Gas stove,,Sufuria small,0,0,1,0,0,0,,Sometimes,Fresh,None,20:40:00.000+03:00,,21:15:00.000+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:15:00.000+03:00,,,,,,,
191,Pre EPC,751589078,Yes ,Charcoal,0,0,0,1,0,0,,08:00:00.000+03:00,,,5,,,,,2,,,5,,No,,Female,Breakfast Lunch Supper Water heating,1,1,1,0,0,1,0,,,2,2,Yes,Chapati,3,2,Fried potatoes,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,11:35:00.000+03:00,,13:00:00.000+03:00,,Matoke,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,18:00:00.000+03:00,,21:00:00.000+03:00,,Fried fish,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,19:20:00.000+03:00,,20:20:00.000+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,None,08:00:00.000+03:00,,08:30:00.000+03:00,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,None,18:50:00.000+03:00,,19:15:00.000+03:00,,21:00:00.000+03:00,,,,,,,
192,Pre EPC,751589078,Yes ,Electricity Charcoal,1,0,0,1,0,0,,08:00:00.000+03:00,,,15,,,,,13,,,10,,No,,Female,Breakfast Lunch Supper Water heating,1,1,1,0,0,1,0,,,2,2,Yes,Bread,4,2,Rice,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,12:00:00.000+03:00,,13:00:00.000+03:00,,Leafy veg,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,13:30:00.000+03:00,,14:00:00.000+03:00,,Matoke,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,18:30:00.000+03:00,,21:00:00.000+03:00,,Fried fish,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,19:00:00.000+03:00,,20:00:00.000+03:00,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,08:00:00.000+03:00,,08:30:00.000+03:00,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,None,18:30:00.000+03:00,,19:00:00.000+03:00,,21:00:00.000+03:00,,,,,,,
193,Pre EPC,751589078,Yes ,Charcoal Electricity,1,0,0,1,0,0,,08:00:00.000+03:00,,,1,,,,,0,,,3,,No,,Female,Breakfast Lunch Supper Water heating,1,1,1,0,0,1,0,,,2,2,Yes,Bread,4,2,Beans,,Electric pressure cooker,,,,,,,,,,,Fresh,None,12:00:00.000+03:00,6,12:40:00.000+03:00,6.1,Ugali,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,13:00:00.000+03:00,,13:15:00.000+03:00,,Matoke,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,18:30:00.000+03:00,,21:00:00.000+03:00,,Fried fish,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,19:30:00.000+03:00,,20:20:00.000+03:00,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,08:00:00.000+03:00,,08:25:00.000+03:00,,Other,Cooking food,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,None,11:45:00.000+03:00,,13:00:00.000+03:00,,21:00:00.000+03:00,,,,,,,
194,Pre EPC,751589078,Yes ,Charcoal,0,0,0,1,0,0,,08:00:00.000+03:00,,,3,,,,,0,,,5,,Yes,,Female,Breakfast Lunch Supper Water heating,1,1,1,0,0,1,0,,,2,2,Yes,Bread,4,2,Rice,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,12:00:00.000+03:00,,13:00:00.000+03:00,,Leafy veg,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,12:30:00.000+03:00,,13:00:00.000+03:00,,Matoke,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,18:45:00.000+03:00,,21:00:00.000+03:00,,Other,Ground nuts,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,19:00:00.000+03:00,,20:30:00.000+03:00,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,None,08:00:00.000+03:00,,08:30:00.000+03:00,,Drinking/purifying,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,All,21:00:00.000+03:00,,22:00:00.000+03:00,,22:00:00.000+03:00,,,,,,,
195,Pre EPC,751589078,Yes ,Charcoal,0,0,0,1,0,0,,08:00:00.000+03:00,,,2,,,,,0,,,5,,Yes,,Male,Breakfast Lunch Supper Water heating,1,1,1,0,0,1,0,,,2,2,Yes,Bread,4,2,Rice,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,12:00:00.000+03:00,,12:55:00.000+03:00,,Leafy veg,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,13:00:00.000+03:00,,13:20:00.000+03:00,,Matoke,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,18:30:00.000+03:00,,21:00:00.000+03:00,,Fried fish,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,19:00:00.000+03:00,,19:45:00.000+03:00,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,08:00:00.000+03:00,,08:20:00.000+03:00,,Drinking/purifying,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,11:00:00.000+03:00,,12:00:00.000+03:00,,21:00:00.000+03:00,,,,,,,
196,Post EPC,751589078,Yes ,Charcoal,0,0,0,1,0,0,,08:00:00.000+03:00,,,3,,,,,0,,,5,,No,,Female,Breakfast Lunch Supper Water heating,1,1,1,0,0,1,0,,,2,2,Yes,Bread,4,2,Rice,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,12:00:00.000+03:00,,13:00:00.000+03:00,,Fried fish,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,13:00:00.000+03:00,,13:35:00.000+03:00,,Matoke,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,18:48:00.000+03:00,,21:00:00.000+03:00,,Other,Ground nuts,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,19:00:00.000+03:00,,20:20:00.000+03:00,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,None,08:00:00.000+03:00,,08:20:00.000+03:00,,Other,Cooking food,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,None,11:45:00.000+03:00,,12:00:00.000+03:00,,21:00:00.000+03:00,,,,,,,
197,Post EPC,751589078,Yes ,Charcoal,0,0,0,1,0,0,,08:00:00.000+03:00,,,2,,,,,0,,,3,,Yes,,Male,Breakfast Lunch Supper Water heating,1,1,1,0,0,1,0,,,2,2,Yes,Bread,4,2,Rice,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,12:00:00.000+03:00,,12:48:00.000+03:00,,Leafy veg,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,13:00:00.000+03:00,,13:25:00.000+03:00,,Matoke,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,18:45:00.000+03:00,,21:00:00.000+03:00,,Other,Ground nuts,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,19:00:00.000+03:00,,20:00:00.000+03:00,,,,,,,,,,,,,,,,,,,,,Bathing,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,21:00:00.000+03:00,,21:20:00.000+03:00,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,None,08:00:00.000+03:00,,08:15:00.000+03:00,,21:30:00.000+03:00,,,,,,,
198,Post EPC,751589078,Yes ,Charcoal,0,0,0,1,0,0,,08:00:00.000+03:00,,,3,,,,,0,,,5,,No,,Male,Breakfast Lunch Supper Water heating,1,1,1,0,0,1,0,,,2,2,Yes,Bread,4,2,Rice,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,12:10:00.000+03:00,,13:00:00.000+03:00,,Leafy veg,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,13:00:00.000+03:00,,13:25:00.000+03:00,,Matoke,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,18:30:00.000+03:00,,21:00:00.000+03:00,,Other,Ground nuts,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,19:00:00.000+03:00,,20:30:00.000+03:00,,,,,,,,,,,,,,,,,,,,,Drinking/purifying,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,None,08:00:00.000+03:00,,08:20:00.000+03:00,,Other,Cooking food,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,None,11:45:00.000+03:00,,12:00:00.000+03:00,,21:00:00.000+03:00,,,,,,,
199,Post EPC,751589078,Yes ,Charcoal,0,0,0,1,0,0,,08:00:00.000+03:00,,,2,,,,,0,,,5,,No,,Female,Breakfast Lunch Supper Water heating,1,1,1,0,0,1,0,,,2,2,Yes,Bread,3,2,Matoke,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,10:00:00.000+03:00,,13:00:00.000+03:00,,Other,Ground nuts,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,None,12:00:00.000+03:00,,13:20:00.000+03:00,,Other,Fried Irish potatoes,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,19:00:00.000+03:00,,20:40:00.000+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,08:00:00.000+03:00,,08:20:00.000+03:00,,Drinking/purifying,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,15:00:00.000+03:00,,16:30:00.000+03:00,,20:40:00.000+03:00,,,,,,,
200,Post EPC,751589078,Yes ,Charcoal,0,0,0,1,0,0,,09:00:00.000+03:00,,,4,,,,,0,,,5,,,,Female,Breakfast Lunch Supper Water heating,1,1,1,0,0,1,0,,,2,2,Yes,Bread,3,2,Other,Fried Irish potatoes,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,12:00:00.000+03:00,,17:30:00.000+03:00,,Matoke,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,18:10:00.000+03:00,,20:40:00.000+03:00,,Beef/Goat,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,19:00:00.000+03:00,,21:00:00.000+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,None,08:00:00.000+03:00,,08:25:00.000+03:00,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,None,18:40:00.000+03:00,,19:00:00.000+03:00,,21:15:00.000+03:00,,,,,,,
201,Post EPC,751589078,Yes ,Charcoal,0,0,0,1,0,0,,09:00:00.000+03:00,,,3,,,,,0,,,8,,No,,Female,Breakfast Lunch Supper Water heating,1,1,1,0,0,1,0,,,2,2,No,,4,2,Rice,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,12:00:00.000+03:00,,13:00:00.000+03:00,,Beans,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,11:00:00.000+03:00,,13:15:00.000+03:00,,Matoke,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,18:30:00.000+03:00,,21:00:00.000+03:00,,Beef/Goat,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,19:00:00.000+03:00,,20:30:00.000+03:00,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Sufuria big,1,0,0,0,0,0,,Yes,Fresh,Some,08:00:00.000+03:00,,08:30:00.000+03:00,,Other,Cooking food,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,None,12:00:00.000+03:00,,12:20:00.000+03:00,,21:00:00.000+03:00,,,,,,,
202,Post EPC,751589078,Yes ,Charcoal,0,0,0,1,0,0,,08:00:00.000+03:00,,,4,,,,,0,,,5,,Yes,,Female,Breakfast Lunch Supper Water heating,1,1,1,0,0,1,0,,,2,2,No,,4,2,Beans,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,10:00:00.000+03:00,,13:00:00.000+03:00,,Rice,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,12:00:00.000+03:00,,13:00:00.000+03:00,,Matoke,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,18:00:00.000+03:00,,21:00:00.000+03:00,,Other,Ground nuts,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,19:00:00.000+03:00,,20:20:00.000+03:00,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,08:00:00.000+03:00,,08:20:00.000+03:00,,Other,Cooking food,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,None,12:00:00.000+03:00,,12:25:00.000+03:00,,21:00:00.000+03:00,,,,,,,
203,Post EPC,751589078,Yes ,Charcoal,0,0,0,1,0,0,,09:00:00.000+03:00,,,26,,,,,24,,,5,,No,,Female,Breakfast Lunch Supper,1,1,1,0,0,0,0,,,2,2,No,,4,2,Ugali,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,No,Fresh,None,12:30:00.000+03:00,,13:00:00.000+03:00,,Beans,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,10:30:00.000+03:00,,13:00:00.000+03:00,,Rice,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,19:00:00.000+03:00,,19:50:00.000+03:00,,Leafy veg,,,,,,,,,,,,,Fresh,None,20:00:00.000+03:00,,20:20:00.000+03:00,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,09:00:00.000+03:00,,09:30:00.000+03:00,,Other,Cooking food,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,18:30:00.000+03:00,,18:55:00.000+03:00,,20:30:00.000+03:00,,,,,,,
204,Post EPC,751589078,Yes ,Charcoal,0,0,0,1,0,0,,09:00:00.000+03:00,,,24,,,,,21,,,4,,Yes,,Female,Breakfast Lunch Supper,1,1,1,0,0,0,0,,,2,2,No,,4,2,Rice,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,12:00:00.000+03:00,,13:00:00.000+03:00,,Fried fish,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,12:20:00.000+03:00,,13:10:00.000+03:00,,Matoke,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,18:40:00.000+03:00,,21:00:00.000+03:00,,Beef/Goat,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,19:00:00.000+03:00,,20:20:00.000+03:00,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,09:00:00.000+03:00,,09:30:00.000+03:00,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,None,19:00:00.000+03:00,,19:30:00.000+03:00,,21:00:00.000+03:00,,,,,,,
205,Post EPC,751589078,Yes ,Charcoal,0,0,0,1,0,0,,09:00:00.000+03:00,,,37,,,,,34,,,3,,,,Female,Breakfast Lunch Supper,1,1,1,0,0,0,0,,,2,2,No,,4,1,Rice,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,12:30:00.000+03:00,,13:15:00.000+03:00,,Beans,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,11:00:00.000+03:00,,13:00:00.000+03:00,,Matoke,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,18:30:00.000+03:00,,21:00:00.000+03:00,,Fried fish,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,19:00:00.000+03:00,,19:45:00.000+03:00,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,09:00:00.000+03:00,,09:30:00.000+03:00,,,,,,,,,,,,,,,,,,,,,21:00:00.000+03:00,,,,,,,
206,Post EPC,751589078,Yes ,Charcoal,0,0,0,1,0,0,,09:00:00.000+03:00,,,30,,,,,28,,,4,,Yes,,Female,Breakfast Lunch Supper,1,1,1,0,0,0,0,,,2,2,No,,4,2,Rice,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,12:00:00.000+03:00,,01:00:00.000+03:00,,Beans,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,10:00:00.000+03:00,,13:00:00.000+03:00,,Matoke,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,18:00:00.000+03:00,,21:00:00.000+03:00,,Fried fish,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,19:00:00.000+03:00,,19:40:00.000+03:00,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,09:00:00.000+03:00,,09:30:00.000+03:00,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,18:30:00.000+03:00,,19:00:00.000+03:00,,21:00:00.000+03:00,,,,,,,
